Date,USD,EUR
1979-10-23,385.0,233.4
1979-10-24,395.0,239.0
1979-10-25,391.8,236.8
1979-10-26,375.0,227.1
1979-10-29,374.0,227.1
1979-10-30,377.6,229.1
1979-10-31,382.0,231.5
1979-11-01,378.5,229.1
1979-11-02,372.8,224.9
1979-11-05,381.0,229.5
1979-11-06,384.3,232.4
1979-11-07,395.0,237.7
1979-11-08,389.5,235.3
1979-11-09,389.5,235.2
1979-11-12,393.3,238.0
1979-11-13,387.2,234.1
1979-11-14,390.0,234.6
1979-11-15,386.0,232.2
1979-11-16,390.4,234.2
1979-11-19,389.9,232.5
1979-11-20,387.8,231.5
1979-11-21,396.2,235.6
1979-11-22,393.2,234.3
1979-11-23,392.0,233.8
1979-11-26,395.3,235.0
1979-11-27,393.8,233.9
1979-11-28,411.2,244.1
1979-11-29,411.7,243.8
1979-11-30,415.7,244.9
1979-12-03,428.8,250.2
1979-12-04,431.2,253.4
1979-12-05,426.4,252.6
1979-12-06,433.8,256.4
1979-12-07,430.4,255.9
1979-12-10,431.2,256.1
1979-12-11,445.5,262.9
1979-12-12,446.3,263.0
1979-12-13,458.8,270.2
1979-12-14,456.8,269.8
1979-12-17,469.5,277.0
1979-12-18,477.8,281.2
1979-12-19,488.5,287.2
1979-12-20,471.5,277.6
1979-12-21,473.1,278.6
1979-12-24,473.1,277.4
1979-12-25,473.1,277.4
1979-12-26,473.1,277.4
1979-12-27,473.1,275.9
1979-12-28,512.0,299.0
1979-12-31,512.0,299.1
1980-01-01,512.0,299.1
1980-01-02,559.5,325.3
1980-01-03,634.0,368.7
1980-01-04,588.0,342.6
1980-01-07,633.5,368.2
1980-01-08,610.0,355.2
1980-01-09,607.2,353.2
1980-01-10,602.9,351.3
1980-01-11,623.0,363.7
1980-01-14,660.0,385.0
1980-01-15,684.0,400.4
1980-01-16,760.0,444.1
1980-01-17,750.0,438.5
1980-01-18,835.0,488.0
1980-01-21,850.0,497.9
1980-01-22,737.5,433.1
1980-01-23,695.0,407.4
1980-01-24,717.0,420.8
1980-01-25,668.0,392.4
1980-01-28,624.0,367.7
1980-01-29,674.3,397.0
1980-01-30,691.0,406.3
1980-01-31,653.0,385.0
1980-02-01,676.5,398.9
1980-02-04,669.8,394.5
1980-02-05,682.0,401.6
1980-02-06,709.0,416.0
1980-02-07,699.3,411.0
1980-02-08,692.0,407.2
1980-02-11,710.5,416.9
1980-02-12,694.5,408.2
1980-02-13,696.8,408.2
1980-02-14,682.0,399.8
1980-02-15,667.0,391.9
1980-02-18,661.5,389.0
1980-02-19,652.3,385.1
1980-02-20,606.0,357.6
1980-02-21,665.0,392.3
1980-02-22,630.0,373.4
1980-02-25,616.5,366.2
1980-02-26,642.3,381.8
1980-02-27,636.0,377.8
1980-02-28,646.0,383.8
1980-02-29,637.0,381.5
1980-03-03,633.8,380.8
1980-03-04,631.3,380.2
1980-03-05,643.5,387.8
1980-03-06,626.0,378.6
1980-03-07,609.0,368.7
1980-03-10,585.0,356.0
1980-03-11,570.3,347.6
1980-03-12,585.7,356.2
1980-03-13,556.5,340.7
1980-03-14,523.0,322.6
1980-03-17,484.0,304.9
1980-03-18,481.5,303.6
1980-03-19,527.0,331.6
1980-03-20,561.0,351.6
1980-03-21,525.0,331.0
1980-03-24,558.3,353.8
1980-03-25,547.3,348.0
1980-03-26,507.5,322.0
1980-03-27,485.3,311.6
1980-03-28,490.0,315.8
1980-03-31,494.5,321.6
1980-04-01,509.5,335.2
1980-04-02,500.5,326.9
1980-04-03,485.8,318.0
1980-04-04,485.8,318.0
1980-04-07,485.8,318.0
1980-04-08,528.0,343.7
1980-04-09,554.0,352.1
1980-04-10,526.0,333.4
1980-04-11,530.5,335.4
1980-04-14,529.8,334.0
1980-04-15,497.5,317.8
1980-04-16,520.0,327.6
1980-04-17,513.0,321.7
1980-04-18,515.6,323.5
1980-04-21,506.0,316.6
1980-04-22,502.4,315.6
1980-04-23,506.5,313.0
1980-04-24,515.7,317.8
1980-04-25,551.5,339.0
1980-04-28,524.3,320.3
1980-04-29,513.8,314.2
1980-04-30,518.0,317.3
1980-05-01,490.0,300.1
1980-05-02,512.5,316.7
1980-05-05,512.5,316.7
1980-05-06,512.5,312.4
1980-05-07,510.0,310.2
1980-05-08,515.8,314.8
1980-05-09,508.3,312.7
1980-05-12,513.3,313.4
1980-05-13,512.0,312.5
1980-05-14,525.0,320.1
1980-05-15,517.0,314.9
1980-05-16,516.5,315.6
1980-05-19,513.8,314.6
1980-05-20,507.8,311.1
1980-05-21,513.5,312.2
1980-05-22,501.0,304.4
1980-05-23,511.3,309.1
1980-05-26,511.3,309.1
1980-05-27,514.8,308.5
1980-05-28,526.5,316.7
1980-05-29,519.6,313.2
1980-05-30,535.5,323.1
1980-06-02,561.5,339.1
1980-06-03,552.5,333.8
1980-06-04,571.5,344.4
1980-06-05,581.8,350.6
1980-06-06,597.0,358.2
1980-06-09,623.8,373.9
1980-06-10,604.0,362.2
1980-06-11,596.0,358.1
1980-06-12,590.0,354.4
1980-06-13,608.4,364.0
1980-06-16,595.0,357.4
1980-06-17,591.8,356.3
1980-06-18,602.5,362.2
1980-06-19,599.0,360.4
1980-06-20,602.9,362.8
1980-06-23,596.5,358.5
1980-06-24,603.0,363.0
1980-06-25,622.5,374.6
1980-06-26,624.5,375.7
1980-06-27,637.5,383.6
1980-06-30,653.5,392.7
1980-07-01,660.0,396.8
1980-07-02,661.5,397.9
1980-07-03,663.5,398.8
1980-07-04,666.5,399.0
1980-07-07,667.5,397.5
1980-07-08,687.5,408.8
1980-07-09,671.0,399.4
1980-07-10,656.5,390.6
1980-07-11,667.0,397.1
1980-07-14,650.0,387.2
1980-07-15,619.5,370.3
1980-07-16,624.8,372.9
1980-07-17,627.3,373.0
1980-07-18,606.0,362.0
1980-07-21,617.5,368.1
1980-07-22,613.0,364.4
1980-07-23,631.3,375.6
1980-07-24,643.0,381.8
1980-07-25,651.8,387.4
1980-07-28,643.5,383.1
1980-07-29,646.8,387.6
1980-07-30,629.0,380.1
1980-07-31,614.3,372.4
1980-08-01,622.0,379.3
1980-08-04,630.8,383.0
1980-08-05,630.5,381.3
1980-08-06,627.8,378.3
1980-08-07,629.5,381.7
1980-08-08,630.0,382.1
1980-08-11,617.0,374.8
1980-08-12,605.0,367.2
1980-08-13,615.3,373.5
1980-08-14,626.0,381.2
1980-08-15,624.5,380.0
1980-08-18,612.3,374.4
1980-08-19,624.0,382.5
1980-08-20,634.8,388.6
1980-08-21,645.3,395.4
1980-08-22,639.2,393.7
1980-08-25,639.2,393.7
1980-08-26,628.9,386.8
1980-08-27,633.9,389.5
1980-08-28,635.3,388.4
1980-08-29,631.3,386.5
1980-09-01,628.8,384.2
1980-09-02,640.0,389.7
1980-09-03,636.8,387.3
1980-09-04,647.3,393.6
1980-09-05,651.0,396.9
1980-09-08,672.0,409.0
1980-09-09,670.5,408.5
1980-09-10,686.5,418.0
1980-09-11,674.0,410.2
1980-09-12,685.5,417.8
1980-09-15,666.5,406.8
1980-09-16,668.0,408.1
1980-09-17,673.0,410.5
1980-09-18,672.0,411.8
1980-09-19,674.0,414.1
1980-09-22,710.0,437.7
1980-09-23,711.0,439.6
1980-09-24,710.5,436.1
1980-09-25,697.8,429.1
1980-09-26,698.8,431.2
1980-09-29,679.3,420.6
1980-09-30,666.8,412.8
1980-10-01,682.0,421.5
1980-10-02,665.8,412.1
1980-10-03,660.5,409.0
1980-10-06,675.5,415.8
1980-10-07,678.2,418.7
1980-10-08,677.0,417.6
1980-10-09,690.0,426.0
1980-10-10,685.3,422.8
1980-10-13,679.8,420.0
1980-10-14,668.5,414.5
1980-10-15,678.0,422.0
1980-10-16,674.0,420.1
1980-10-17,670.5,420.3
1980-10-20,657.0,415.5
1980-10-21,652.5,412.8
1980-10-22,660.0,417.9
1980-10-23,634.5,401.2
1980-10-24,633.0,401.0
1980-10-27,637.3,406.4
1980-10-28,631.8,405.2
1980-10-29,644.0,411.8
1980-10-30,642.5,412.7
1980-10-31,629.0,404.9
1980-11-03,640.5,414.6
1980-11-04,646.0,418.1
1980-11-05,652.0,427.2
1980-11-06,632.0,414.5
1980-11-07,596.0,392.9
1980-11-10,612.5,395.3
1980-11-11,598.5,385.2
1980-11-12,619.5,400.1
1980-11-13,622.0,400.3
1980-11-14,612.5,396.5
1980-11-17,611.8,401.3
1980-11-18,619.0,403.9
1980-11-19,629.8,408.6
1980-11-20,630.5,410.7
1980-11-21,634.8,415.5
1980-11-24,631.0,412.8
1980-11-25,616.3,402.5
1980-11-26,623.0,407.9
1980-11-27,622.0,408.0
1980-11-28,619.8,406.7
1980-12-01,635.0,419.2
1980-12-02,627.0,414.6
1980-12-03,627.3,414.0
1980-12-04,631.5,417.5
1980-12-05,617.0,410.9
1980-12-08,617.3,411.2
1980-12-09,604.0,406.0
1980-12-10,579.0,393.3
1980-12-11,558.0,381.1
1980-12-12,562.8,382.2
1980-12-15,579.0,389.7
1980-12-16,561.0,384.4
1980-12-17,575.5,388.9
1980-12-18,573.5,388.8
1980-12-19,575.0,379.7
1980-12-22,594.8,397.7
1980-12-23,602.5,399.2
1980-12-24,602.5,398.5
1980-12-25,602.5,398.5
1980-12-26,602.5,398.5
1980-12-29,593.8,396.0
1980-12-30,589.8,391.8
1980-12-31,589.8,392.4
1981-01-01,589.8,392.4
1981-01-02,589.8,396.1
1981-01-05,597.5,395.3
1981-01-06,599.3,395.3
1981-01-07,585.0,387.9
1981-01-08,574.8,384.4
1981-01-09,577.8,388.9
1981-01-12,562.0,379.0
1981-01-13,562.8,383.0
1981-01-14,556.5,377.6
1981-01-15,571.5,388.7
1981-01-16,560.8,382.6
1981-01-19,566.8,386.5
1981-01-20,562.0,382.8
1981-01-21,578.0,391.8
1981-01-22,564.0,387.8
1981-01-23,553.0,381.4
1981-01-26,528.5,367.7
1981-01-27,524.0,366.8
1981-01-28,523.5,368.9
1981-01-29,493.8,349.4
1981-01-30,506.5,363.3
1981-02-02,493.5,353.4
1981-02-03,486.3,351.3
1981-02-04,505.0,361.6
1981-02-05,498.5,361.2
1981-02-06,500.5,361.9
1981-02-09,512.5,371.0
1981-02-10,519.5,377.3
1981-02-11,501.0,364.4
1981-02-12,490.3,361.7
1981-02-13,491.5,367.4
1981-02-16,490.3,372.2
1981-02-17,500.8,373.5
1981-02-18,505.0,375.1
1981-02-19,503.3,367.5
1981-02-20,511.5,366.9
1981-02-23,501.5,362.2
1981-02-24,503.0,365.0
1981-02-25,500.5,362.3
1981-02-26,492.0,357.8
1981-02-27,489.0,358.0
1981-03-02,465.5,344.5
1981-03-03,471.0,348.9
1981-03-04,465.5,341.6
1981-03-05,461.5,339.1
1981-03-06,467.0,343.3
1981-03-09,474.3,346.2
1981-03-10,487.3,353.3
1981-03-11,476.3,347.2
1981-03-12,478.0,348.0
1981-03-13,492.0,357.7
1981-03-16,499.8,360.6
1981-03-17,493.3,355.2
1981-03-18,506.0,359.9
1981-03-19,510.0,360.6
1981-03-20,516.8,369.0
1981-03-23,526.0,381.4
1981-03-24,536.3,388.0
1981-03-25,528.0,382.5
1981-03-26,539.5,394.1
1981-03-27,538.8,396.4
1981-03-30,526.5,386.4
1981-03-31,513.8,375.1
1981-04-01,514.3,375.2
1981-04-02,519.5,380.2
1981-04-03,523.0,385.6
1981-04-06,533.8,398.9
1981-04-07,514.3,382.0
1981-04-08,508.5,375.3
1981-04-09,503.0,374.2
1981-04-10,493.5,368.1
1981-04-13,473.8,356.6
1981-04-14,483.0,362.5
1981-04-15,476.3,360.6
1981-04-16,482.5,365.6
1981-04-17,482.5,365.6
1981-04-20,482.5,365.6
1981-04-21,481.0,364.9
1981-04-22,501.0,376.2
1981-04-23,488.5,367.7
1981-04-24,494.5,374.3
1981-04-27,483.0,365.6
1981-04-28,482.8,366.3
1981-04-29,477.3,365.8
1981-04-30,482.8,369.7
1981-05-01,487.5,373.1
1981-05-04,487.5,373.1
1981-05-05,476.3,374.6
1981-05-06,482.0,377.1
1981-05-07,477.8,375.5
1981-05-08,485.8,379.2
1981-05-11,493.0,390.8
1981-05-12,484.0,385.6
1981-05-13,484.3,385.7
1981-05-14,476.5,382.3
1981-05-15,485.0,389.0
1981-05-18,481.8,384.7
1981-05-19,481.5,385.3
1981-05-20,479.8,382.6
1981-05-21,475.0,382.3
1981-05-22,472.8,380.1
1981-05-25,472.8,380.1
1981-05-26,466.5,376.1
1981-05-27,466.8,377.8
1981-05-28,479.0,385.3
1981-05-29,479.3,386.1
1981-06-01,483.3,389.7
1981-06-02,474.0,387.2
1981-06-03,475.5,387.8
1981-06-04,462.5,385.8
1981-06-05,460.0,384.5
1981-06-08,473.5,394.1
1981-06-09,460.5,383.0
1981-06-10,465.3,382.0
1981-06-11,464.3,385.8
1981-06-12,472.0,391.8
1981-06-15,471.8,384.4
1981-06-16,461.5,375.7
1981-06-17,461.8,375.4
1981-06-18,459.0,376.8
1981-06-19,458.3,377.8
1981-06-22,462.0,378.4
1981-06-23,466.5,381.5
1981-06-24,462.0,380.0
1981-06-25,446.5,370.0
1981-06-26,442.0,365.3
1981-06-29,428.8,355.1
1981-06-30,426.0,353.4
1981-07-01,422.0,352.3
1981-07-02,414.5,346.5
1981-07-03,414.0,346.3
1981-07-06,403.8,341.7
1981-07-07,405.0,341.9
1981-07-08,397.8,339.5
1981-07-09,406.3,346.5
1981-07-10,416.5,352.2
1981-07-13,413.0,346.9
1981-07-14,402.3,340.9
1981-07-15,412.3,344.8
1981-07-16,418.3,349.2
1981-07-17,415.0,348.4
1981-07-20,412.5,349.1
1981-07-21,406.0,346.5
1981-07-22,411.5,347.8
1981-07-23,407.8,344.7
1981-07-24,407.5,344.9
1981-07-27,408.8,345.1
1981-07-28,401.5,339.9
1981-07-29,401.5,341.0
1981-07-30,402.3,342.1
1981-07-31,406.0,346.9
1981-08-03,392.5,341.7
1981-08-04,391.3,341.7
1981-08-05,392.4,340.5
1981-08-06,393.3,342.6
1981-08-07,397.3,348.0
1981-08-10,393.8,349.6
1981-08-11,401.0,355.4
1981-08-12,417.5,361.6
1981-08-13,407.3,355.2
1981-08-14,413.0,361.9
1981-08-17,411.5,356.5
1981-08-18,420.0,362.3
1981-08-19,431.5,373.4
1981-08-20,429.0,368.3
1981-08-21,429.5,365.9
1981-08-24,422.0,361.4
1981-08-25,409.8,356.0
1981-08-26,414.0,355.5
