Date,USD,EUR
13/11/79,387.2,234.1
14/11/79,390.0,234.6
15/11/79,386.0,232.2
16/11/79,390.4,234.2
19/11/79,389.9,232.5
20/11/79,387.8,231.5
21/11/79,396.2,235.6
22/11/79,393.2,234.3
23/11/79,392.0,233.8
26/11/79,395.3,235.0
27/11/79,393.8,233.9
28/11/79,411.2,244.1
29/11/79,411.7,243.8
30/11/79,415.7,244.9
03/12/79,428.8,250.2
04/12/79,431.2,253.4
05/12/79,426.4,252.6
06/12/79,433.8,256.4
07/12/79,430.4,255.9
10/12/79,431.2,256.1
11/12/79,445.5,262.9
12/12/79,446.3,263.0
13/12/79,458.8,270.2
14/12/79,456.8,269.8
17/12/79,469.5,277.0
18/12/79,477.8,281.2
19/12/79,488.5,287.2
20/12/79,471.5,277.6
21/12/79,473.1,278.6
24/12/79,473.1,277.4
25/12/79,473.1,277.4
26/12/79,473.1,277.4
27/12/79,473.1,275.9
28/12/79,512.0,299.0
31/12/79,512.0,299.1
01/01/80,512.0,299.1
02/01/80,559.5,325.3
03/01/80,634.0,368.7
04/01/80,588.0,342.6
07/01/80,633.5,368.2
08/01/80,610.0,355.2
09/01/80,607.2,353.2
10/01/80,602.9,351.3
11/01/80,623.0,363.7
14/01/80,660.0,385.0
15/01/80,684.0,400.4
16/01/80,760.0,444.1
17/01/80,750.0,438.5
18/01/80,835.0,488.0
21/01/80,850.0,497.9
22/01/80,737.5,433.1
23/01/80,695.0,407.4
24/01/80,717.0,420.8
25/01/80,668.0,392.4
28/01/80,624.0,367.7
29/01/80,674.3,397.0
30/01/80,691.0,406.3
31/01/80,653.0,385.0
01/02/80,676.5,398.9
04/02/80,669.8,394.5
05/02/80,682.0,401.6
06/02/80,709.0,416.0
07/02/80,699.3,411.0
08/02/80,692.0,407.2
11/02/80,710.5,416.9
12/02/80,694.5,408.2
13/02/80,696.8,408.2
14/02/80,682.0,399.8
15/02/80,667.0,391.9
18/02/80,661.5,389.0
19/02/80,652.3,385.1
20/02/80,606.0,357.6
21/02/80,665.0,392.3
22/02/80,630.0,373.4
25/02/80,616.5,366.2
26/02/80,642.3,381.8
27/02/80,636.0,377.8
28/02/80,646.0,383.8
29/02/80,637.0,381.5
03/03/80,633.8,380.8
04/03/80,631.3,380.2
05/03/80,643.5,387.8
06/03/80,626.0,378.6
07/03/80,609.0,368.7
10/03/80,585.0,356.0
11/03/80,570.3,347.6
12/03/80,585.7,356.2
13/03/80,556.5,340.7
14/03/80,523.0,322.6
17/03/80,484.0,304.9
18/03/80,481.5,303.6
19/03/80,527.0,331.6
20/03/80,561.0,351.6
21/03/80,525.0,331.0
24/03/80,558.3,353.8
25/03/80,547.3,348.0
26/03/80,507.5,322.0
27/03/80,485.3,311.6
28/03/80,490.0,315.8
31/03/80,494.5,321.6
01/04/80,509.5,335.2
02/04/80,500.5,326.9
03/04/80,485.8,318.0
04/04/80,485.8,318.0
07/04/80,485.8,318.0
08/04/80,528.0,343.7
09/04/80,554.0,352.1
10/04/80,526.0,333.4
11/04/80,530.5,335.4
14/04/80,529.8,334.0
15/04/80,497.5,317.8
16/04/80,520.0,327.6
17/04/80,513.0,321.7
18/04/80,515.6,323.5
21/04/80,506.0,316.6
22/04/80,502.4,315.6
23/04/80,506.5,313.0
24/04/80,515.7,317.8
25/04/80,551.5,339.0
28/04/80,524.3,320.3
29/04/80,513.8,314.2
30/04/80,518.0,317.3
01/05/80,490.0,300.1
02/05/80,512.5,316.7
05/05/80,512.5,316.7
06/05/80,512.5,312.4
07/05/80,510.0,310.2
08/05/80,515.8,314.8
09/05/80,508.3,312.7
12/05/80,513.3,313.4
13/05/80,512.0,312.5
14/05/80,525.0,320.1
15/05/80,517.0,314.9
16/05/80,516.5,315.6
19/05/80,513.8,314.6
20/05/80,507.8,311.1
21/05/80,513.5,312.2
22/05/80,501.0,304.4
23/05/80,511.3,309.1
26/05/80,511.3,309.1
27/05/80,514.8,308.5
28/05/80,526.5,316.7
29/05/80,519.6,313.2
30/05/80,535.5,323.1
02/06/80,561.5,339.1
03/06/80,552.5,333.8
04/06/80,571.5,344.4
05/06/80,581.8,350.6
06/06/80,597.0,358.2
09/06/80,623.8,373.9
10/06/80,604.0,362.2
11/06/80,596.0,358.1
12/06/80,590.0,354.4
13/06/80,608.4,364.0
16/06/80,595.0,357.4
17/06/80,591.8,356.3
18/06/80,602.5,362.2
19/06/80,599.0,360.4
20/06/80,602.9,362.8
23/06/80,596.5,358.5
24/06/80,603.0,363.0
25/06/80,622.5,374.6
26/06/80,624.5,375.7
27/06/80,637.5,383.6
30/06/80,653.5,392.7
01/07/80,660.0,396.8
02/07/80,661.5,397.9
03/07/80,663.5,398.8
04/07/80,666.5,399.0
07/07/80,667.5,397.5
08/07/80,687.5,408.8
09/07/80,671.0,399.4
10/07/80,656.5,390.6
11/07/80,667.0,397.1
14/07/80,650.0,387.2
15/07/80,619.5,370.3
16/07/80,624.8,372.9
17/07/80,627.3,373.0
18/07/80,606.0,362.0
21/07/80,617.5,368.1
22/07/80,613.0,364.4
23/07/80,631.3,375.6
24/07/80,643.0,381.8
25/07/80,651.8,387.4
28/07/80,643.5,383.1
29/07/80,646.8,387.6
30/07/80,629.0,380.1
31/07/80,614.3,372.4
01/08/80,622.0,379.3
04/08/80,630.8,383.0
05/08/80,630.5,381.3
06/08/80,627.8,378.3
07/08/80,629.5,381.7
08/08/80,630.0,382.1
11/08/80,617.0,374.8
12/08/80,605.0,367.2
13/08/80,615.3,373.5
14/08/80,626.0,381.2
15/08/80,624.5,380.0
18/08/80,612.3,374.4
19/08/80,624.0,382.5
20/08/80,634.8,388.6
21/08/80,645.3,395.4
22/08/80,639.2,393.7
25/08/80,639.2,393.7
26/08/80,628.9,386.8
27/08/80,633.9,389.5
28/08/80,635.3,388.4
29/08/80,631.3,386.5
01/09/80,628.8,384.2
02/09/80,640.0,389.7
03/09/80,636.8,387.3
04/09/80,647.3,393.6
05/09/80,651.0,396.9
08/09/80,672.0,409.0
09/09/80,670.5,408.5
10/09/80,686.5,418.0
11/09/80,674.0,410.2
12/09/80,685.5,417.8
15/09/80,666.5,406.8
16/09/80,668.0,408.1
17/09/80,673.0,410.5
18/09/80,672.0,411.8
19/09/80,674.0,414.1
22/09/80,710.0,437.7
23/09/80,711.0,439.6
24/09/80,710.5,436.1
25/09/80,697.8,429.1
26/09/80,698.8,431.2
29/09/80,679.3,420.6
30/09/80,666.8,412.8
01/10/80,682.0,421.5
02/10/80,665.8,412.1
03/10/80,660.5,409.0
06/10/80,675.5,415.8
07/10/80,678.2,418.7
08/10/80,677.0,417.6
09/10/80,690.0,426.0
10/10/80,685.3,422.8
13/10/80,679.8,420.0
14/10/80,668.5,414.5
15/10/80,678.0,422.0
16/10/80,674.0,420.1
17/10/80,670.5,420.3
20/10/80,657.0,415.5
21/10/80,652.5,412.8
22/10/80,660.0,417.9
23/10/80,634.5,401.2
24/10/80,633.0,401.0
27/10/80,637.3,406.4
28/10/80,631.8,405.2
29/10/80,644.0,411.8
30/10/80,642.5,412.7
31/10/80,629.0,404.9
03/11/80,640.5,414.6
04/11/80,646.0,418.1
05/11/80,652.0,427.2
06/11/80,632.0,414.5
07/11/80,596.0,392.9
10/11/80,612.5,395.3
11/11/80,598.5,385.2
12/11/80,619.5,400.1
13/11/80,622.0,400.3
14/11/80,612.5,396.5
17/11/80,611.8,401.3
18/11/80,619.0,403.9
19/11/80,629.8,408.6
20/11/80,630.5,410.7
21/11/80,634.8,415.5
24/11/80,631.0,412.8
25/11/80,616.3,402.5
26/11/80,623.0,407.9
27/11/80,622.0,408.0
28/11/80,619.8,406.7
01/12/80,635.0,419.2
02/12/80,627.0,414.6
03/12/80,627.3,414.0
04/12/80,631.5,417.5
05/12/80,617.0,410.9
08/12/80,617.3,411.2
09/12/80,604.0,406.0
10/12/80,579.0,393.3
11/12/80,558.0,381.1
12/12/80,562.8,382.2
15/12/80,579.0,389.7
16/12/80,561.0,384.4
17/12/80,575.5,388.9
18/12/80,573.5,388.8
19/12/80,575.0,379.7
22/12/80,594.8,397.7
23/12/80,602.5,399.2
24/12/80,602.5,398.5
25/12/80,602.5,398.5
26/12/80,602.5,398.5
29/12/80,593.8,396.0
30/12/80,589.8,391.8
31/12/80,589.8,392.4
01/01/81,589.8,392.4
02/01/81,589.8,396.1
05/01/81,597.5,395.3
06/01/81,599.3,395.3
07/01/81,585.0,387.9
08/01/81,574.8,384.4
09/01/81,577.8,388.9
12/01/81,562.0,379.0
13/01/81,562.8,383.0
14/01/81,556.5,377.6
15/01/81,571.5,388.7
16/01/81,560.8,382.6
19/01/81,566.8,386.5
20/01/81,562.0,382.8
21/01/81,578.0,391.8
22/01/81,564.0,387.8
23/01/81,553.0,381.4
26/01/81,528.5,367.7
27/01/81,524.0,366.8
28/01/81,523.5,368.9
29/01/81,493.8,349.4
30/01/81,506.5,363.3
02/02/81,493.5,353.4
03/02/81,486.3,351.3
04/02/81,505.0,361.6
05/02/81,498.5,361.2
06/02/81,500.5,361.9
09/02/81,512.5,371.0
10/02/81,519.5,377.3
11/02/81,501.0,364.4
12/02/81,490.3,361.7
13/02/81,491.5,367.4
16/02/81,490.3,372.2
17/02/81,500.8,373.5
18/02/81,505.0,375.1
19/02/81,503.3,367.5
20/02/81,511.5,366.9
23/02/81,501.5,362.2
24/02/81,503.0,365.0
25/02/81,500.5,362.3
26/02/81,492.0,357.8
27/02/81,489.0,358.0
02/03/81,465.5,344.5
03/03/81,471.0,348.9
04/03/81,465.5,341.6
05/03/81,461.5,339.1
06/03/81,467.0,343.3
09/03/81,474.3,346.2
10/03/81,487.3,353.3
11/03/81,476.3,347.2
12/03/81,478.0,348.0
13/03/81,492.0,357.7
16/03/81,499.8,360.6
17/03/81,493.3,355.2
18/03/81,506.0,359.9
19/03/81,510.0,360.6
20/03/81,516.8,369.0
23/03/81,526.0,381.4
24/03/81,536.3,388.0
25/03/81,528.0,382.5
26/03/81,539.5,394.1
27/03/81,538.8,396.4
30/03/81,526.5,386.4
31/03/81,513.8,375.1
01/04/81,514.3,375.2
02/04/81,519.5,380.2
03/04/81,523.0,385.6
06/04/81,533.8,398.9
07/04/81,514.3,382.0
