Date_Hour,Forward_Jitter_PRI,Backward_Jitter_PRI,Roundtrip_Latency_PRI,Forward_Percent_Pkt_Loss_PRI,Backward_Percent_Pkt_Loss_PRI,Forward_Jitter_SEC,Backward_Jitter_SEC,Roundtrip_Latency_SEC,Forward_Percent_Pkt_Loss_SEC,Backward_Percent_Pkt_Loss_SEC
03/03/2025 22:00,20.20,1.00,26.79,0,0,19.54,1.00,25.31,0,0
03/03/2025 23:00,22.28,0.99,28.72,0,0,17.30,0.99,28.27,0,0
03/04/2025 00:00,22.55,1.01,26.68,0,0,18.39,1.02,26.41,0,0
03/04/2025 01:00,13.07,1.00,24.09,0,0,17.86,1.00,26.43,0,0
03/04/2025 02:00,19.38,1.01,27.27,0,0,15.65,1.00,26.40,0,0
03/04/2025 03:00,14.67,1.00,22.76,0,0,24.93,0.99,26.99,0,0
03/04/2025 04:00,18.34,1.00,25.11,0,0,19.18,1.00,25.91,0,0
03/04/2025 05:00,16.68,0.99,26.26,0,0,18.43,1.00,27.45,0,0
03/04/2025 06:00,17.58,1.02,25.88,0,0,20.31,1.02,25.51,0,0
03/04/2025 07:00,11.28,1.00,23.82,0,0,18.72,0.99,25.38,0,0
03/04/2025 08:00,12.43,1.00,27.93,0.08,0,19.73,1.00,28.61,0,0
03/04/2025 09:00,13.95,1.00,27.16,0,0,16.81,1.00,27.17,0,0
03/04/2025 10:00,19.35,1.01,27.36,0,0,20.49,1.00,26.77,0,0
03/04/2025 11:00,15.28,1.00,27.02,0,0,20.35,1.01,27.99,0,0
03/04/2025 12:00,14.38,1.02,27.07,0,0,17.92,1.00,27.66,0,0
03/04/2025 13:00,17.02,1.00,25.37,0,0,22.52,1.01,27.51,0,0
03/04/2025 14:00,18.77,1.00,32.16,0.08,0,17.23,1.00,28.00,0,0
03/04/2025 15:00,13.81,1.00,26.70,0,0,21.32,1.01,27.00,0,0
03/04/2025 16:00,18.04,1.01,25.84,0,0,16.44,1.02,26.47,0,0
03/04/2025 17:00,25.65,0.99,26.70,0,0,14.47,1.00,25.27,0,0
03/04/2025 18:00,21.52,1.01,26.25,0,0,15.48,1.00,27.24,0,0
03/04/2025 19:00,21.61,1.00,25.12,0,0,22.55,1.00,25.69,0,0
03/04/2025 20:00,22.45,1.00,29.18,0,0,21.03,0.99,27.76,0,0
03/04/2025 21:00,19.00,1.00,27.25,0,0,22.98,1.00,28.82,0,0
03/04/2025 22:00,15.32,1.00,25.46,0,0,20.16,1.00,29.04,0,0
03/04/2025 23:00,16.66,1.00,25.29,0,0,18.40,1.00,28.57,0,0
03/05/2025 00:00,18.54,1.00,27.22,0,0,25.62,0.99,29.43,0,0
03/05/2025 01:00,19.25,1.01,26.23,0,0,18.51,1.00,27.76,0,0
03/05/2025 02:00,24.81,1.00,28.88,0,0,15.56,0.99,25.33,0,0
03/05/2025 03:00,20.64,1.00,25.19,0,0,21.73,1.00,26.36,0,0
03/05/2025 04:00,21.25,0.99,27.92,0,0,18.27,1.01,29.27,0,0
03/05/2025 05:00,19.26,1.01,27.32,0,0,21.94,0.99,27.51,0,0
03/05/2025 06:00,20.41,1.00,25.78,0,0,21.98,1.00,26.34,0,0
03/05/2025 07:00,17.25,1.00,26.15,0,0,15.47,1.00,25.81,0,0
03/05/2025 08:00,15.05,1.00,26.80,0.17,0,16.51,1.01,25.89,0,0
03/05/2025 09:00,15.39,1.01,29.01,0.08,0,25.96,1.01,28.28,0,0
03/05/2025 10:00,14.24,1.00,24.48,0,0,18.57,0.99,27.73,0,0
03/05/2025 11:00,18.27,1.01,29.47,0,0,17.42,1.00,27.88,0,0
03/05/2025 12:00,17.30,1.00,30.31,0,0,16.59,1.00,25.93,0,0
03/05/2025 13:00,13.19,1.00,28.15,0.17,0,17.15,1.00,25.75,0,0
03/05/2025 14:00,16.96,1.00,26.59,0,0,13.39,1.00,27.64,0,0
03/05/2025 15:00,13.38,1.01,27.31,0,0,15.40,0.99,26.65,0,0
03/05/2025 16:00,17.82,1.00,26.60,0,0,19.86,1.00,28.88,0,0
03/05/2025 17:00,21.65,1.00,28.86,0,0,15.61,1.00,26.28,0,0
03/05/2025 18:00,18.97,1.01,27.27,0,0,13.82,1.00,25.86,0,0
03/05/2025 19:00,14.18,1.00,24.08,0,0,16.67,0.99,27.73,0,0
03/05/2025 20:00,16.65,1.00,25.92,0,0,14.69,1.02,26.19,0,0
03/05/2025 21:00,15.68,1.01,25.39,0,0,12.85,1.00,25.42,0,0
03/05/2025 22:00,16.95,1.00,26.75,0,0,17.34,1.00,26.51,0,0
03/05/2025 23:00,17.30,1.00,25.46,0,0,22.05,1.00,27.94,0,0
03/06/2025 00:00,17.13,1.01,26.40,0,0,17.24,1.00,25.45,0,0
03/06/2025 01:00,18.34,1.00,26.55,0,0,18.00,1.00,25.53,0,0
03/06/2025 02:00,22.82,1.01,25.99,0,0,15.12,1.01,25.84,0,0
03/06/2025 03:00,23.87,1.00,27.75,0,0,19.88,0.99,30.10,0,0
03/06/2025 04:00,20.95,1.00,27.45,0,0,20.30,1.00,27.21,0,0
03/06/2025 05:00,17.32,1.01,28.67,0,0,20.32,0.99,25.92,0,0
03/06/2025 06:00,20.98,1.00,27.93,0,0,21.94,1.00,28.33,0,0
03/06/2025 07:00,15.03,1.00,25.43,0,0,19.41,1.01,26.41,0,0
03/06/2025 08:00,13.49,1.01,26.86,0,0,19.08,1.00,25.86,0,0
03/06/2025 09:00,13.81,1.00,27.75,0,0,17.13,1.00,26.49,0,0
03/06/2025 10:00,13.79,1.00,25.76,0,0,16.94,1.00,25.77,0,0
03/06/2025 11:00,12.69,1.00,27.70,0,0,16.04,0.99,26.67,0,0
03/06/2025 12:00,13.60,1.01,26.10,0,0,16.73,0.99,25.36,0,0
03/06/2025 13:00,16.29,1.02,26.18,0,0,18.74,1.00,27.32,0,0
03/06/2025 14:00,18.18,1.00,24.28,0,0,24.57,1.00,25.80,0,0
03/06/2025 15:00,17.42,1.01,24.72,0,0,24.29,1.00,26.06,0,0
03/06/2025 16:00,21.30,1.01,24.49,0,0,23.00,1.00,25.24,0,0
03/06/2025 17:00,17.42,0.99,22.88,0,0,16.76,1.00,25.77,0,0
03/06/2025 18:00,18.13,1.00,22.70,0,0,21.94,1.00,26.32,0,0
03/06/2025 19:00,27.27,1.00,24.08,0,0,23.71,0.99,26.08,0,0
03/06/2025 20:00,19.71,1.00,23.26,0,0,20.92,0.99,25.00,0,0
