Date,ACWI
2000-12-29,100.0
2001-01-01,99.9950645412293
2001-01-02,97.60198132734624
2001-01-03,99.78221930428693
2001-01-04,100.06060571851435
2001-01-05,98.13149483306861
2001-01-08,97.96568829834617
2001-01-09,98.47695966275012
2001-01-10,98.59226249651654
2001-01-11,98.48506313991203
2001-01-12,98.55599925137201
2001-01-15,99.18599725998405
2001-01-16,99.45686606871945
2001-01-17,101.19291954269588
2001-01-18,100.8619431274299
2001-01-19,101.63892875046481
2001-01-22,101.62902216423517
2001-01-23,101.8877471811757
2001-01-24,103.54820016144413
2001-01-25,103.65704490672528
2001-01-26,103.27565165427991
2001-01-29,104.01749071999356
2001-01-30,103.95771403778969
2001-01-31,103.49549102385494
2001-02-01,102.73029211036304
2001-02-02,101.97037158589237
2001-02-05,101.35565564401374
2001-02-06,102.11406677549124
2001-02-07,101.05098519909467
2001-02-08,101.71997718341798
2001-02-09,100.05913411339247
2001-02-12,100.53285828063852
2001-02-13,100.75906921064995
2001-02-14,100.46463134820537
2001-02-15,102.5727948621576
2001-02-16,99.88706787233616
2001-02-19,99.24380888741392
2001-02-20,99.16158705668425
2001-02-21,97.42237895799649
2001-02-22,97.47779497726556
2001-02-23,96.73863298274863
2001-02-26,97.87663540318253
2001-02-27,96.8203716048136
2001-02-28,95.8338316294953
2001-03-01,94.71452980716897
2001-03-02,93.5323780857925
2001-03-05,94.6404902648587
2001-03-06,95.6094596343152
2001-03-07,96.18902729833447
2001-03-08,95.80244407862952
2001-03-09,94.24204141459342
2001-03-12,91.14926115795755
2001-03-13,92.11877519737796
2001-03-14,90.67488403193275
2001-03-15,91.9172294509733
2001-03-16,90.88234182538812
2001-03-19,91.42947556520116
2001-03-20,90.33355674556384
2001-03-21,89.85249763438273
2001-03-22,89.08419154185144
2001-03-23,90.22833669619897
2001-03-26,92.0489872574308
2001-03-27,93.61682728004891
2001-03-28,92.83625432858913
2001-03-29,92.65878030618028
2001-03-30,92.94632223703034
2001-04-02,92.19180733454816
2001-04-03,89.44221089262463
2001-04-04,88.35517454581849
2001-04-05,91.59431554129489
2001-04-06,90.39784278034449
2001-04-09,90.70836746657491
2001-04-10,93.39224707666804
2001-04-11,94.06597393479554
2001-04-12,94.26102663912434
2001-04-13,94.22507959134708
2001-04-16,94.67794062528145
2001-04-17,95.2149431193338
2001-04-18,99.1558452200532
2001-04-19,98.77570084977819
2001-04-20,96.99469720299516
2001-04-23,96.29390283384478
2001-04-24,95.99929138827157
2001-04-25,96.59514816085415
2001-04-26,96.82018838006017
2001-04-27,98.63468331550172
2001-04-30,99.38914021389755
2001-05-01,100.10166000167915
2001-05-02,100.19784501128845
2001-05-03,98.78862773736189
2001-05-04,99.54654829036876
2001-05-07,100.00089083872524
2001-05-08,100.11005339746801
2001-05-09,99.6311806609821
2001-05-10,100.166314938778
2001-05-11,100.20376948695716
2001-05-14,99.75364710736557
2001-05-15,99.74632810576122
2001-05-16,100.57049415097894
2001-05-17,101.6261204733629
2001-05-18,102.20120241819589
2001-05-21,103.50900931997182
2001-05-22,104.38465837044781
2001-05-23,104.01248521843098
2001-05-24,104.44842940864437
2001-05-25,103.61479753455387
2001-05-28,103.23989239338985
2001-05-29,103.30346848143249
2001-05-30,101.5302844112805
2001-05-31,102.73562333305712
2001-06-01,102.99812687716467
2001-06-04,103.31550549900301
2001-06-05,104.13079860704302
2001-06-06,103.49862669929038
2001-06-07,103.45726001869264
2001-06-08,103.12815436727811
2001-06-11,102.83193037680162
2001-06-12,101.33412975265503
2001-06-13,100.80637477846442
2001-06-14,98.94161453248108
2001-06-15,97.95346029091986
2001-06-18,97.33404327705507
2001-06-19,97.8895853666387
2001-06-20,98.72677068197778
2001-06-21,99.32909702106558
2001-06-22,98.98156958008104
2001-06-25,97.98717319957059
2001-06-26,97.38517308606352
2001-06-27,97.23784751524072
2001-06-28,99.0610432742994
2001-06-29,99.68205507781474
2001-07-02,100.66212017904357
2001-07-03,100.15644187740098
2001-07-04,99.9074962983831
2001-07-05,99.60039004064174
2001-07-06,96.8002764671213
2001-07-09,96.69655429965677
2001-07-10,95.36814482222633
2001-07-11,94.3240922004843
2001-07-12,96.81000604354519
2001-07-13,97.24904455684391
2001-07-16,96.25506775255182
2001-07-17,96.67914629756368
2001-07-18,94.31003382174185
2001-07-19,95.18397425753044
2001-07-20,94.53836993107723
2001-07-23,93.87474482036986
2001-07-24,92.28538890948592
2001-07-25,92.41340308024986
2001-07-26,93.26800183423045
2001-07-27,94.10981166724744
2001-07-30,94.06772345712959
2001-07-31,94.90610405066396
2001-08-01,95.01606912819055
2001-08-02,95.36889586715093
2001-08-03,94.4516862268388
2001-08-06,94.2524648607317
2001-08-07,94.81841895753487
2001-08-08,93.6255094652056
2001-08-09,91.84998645182034
2001-08-10,91.48765793986807
2001-08-13,91.25895347491864
2001-08-14,91.79423921036064
2001-08-15,90.42059240361601
2001-08-16,89.9793038288918
2001-08-17,88.39174066811974
2001-08-20,88.84456730608132
2001-08-21,88.66167430002632
2001-08-22,88.42120987926712
2001-08-23,88.76559585542222
2001-08-24,90.06860533507998
2001-08-27,90.26608479334708
2001-08-28,89.16527700481278
2001-08-29,88.389184327597
2001-08-30,86.96162757513423
2001-08-31,87.18470138765377
2001-09-03,86.7794063774516
2001-09-04,88.54213426682378
2001-09-05,88.10576909524
2001-09-06,86.20001783178627
2001-09-07,83.8461569701732
2001-09-10,83.91384710078792
2001-09-11,81.84515131965419
2001-09-12,81.54133764129675
2001-09-13,81.68558160216062
2001-09-14,79.84545527447106
