Date,EM (EMERGING MARKETS)
2000-12-29,100.0
2001-01-01,99.90188048767708
2001-01-02,99.1086932936042
2001-01-03,99.93046324337713
2001-01-04,103.55277504996216
2001-01-05,103.17765630723574
2001-01-08,103.24905589082721
2001-01-09,105.38746312893552
2001-01-10,104.64929593523065
2001-01-11,103.88050561745689
2001-01-12,104.88758783411261
2001-01-15,106.089704676336
2001-01-16,106.70827182043251
2001-01-17,109.06836536285797
2001-01-18,108.88014872391446
2001-01-19,111.63395572478206
2001-01-22,111.5682013966909
2001-01-23,111.68794600987077
2001-01-24,113.52888971224024
2001-01-25,113.97881455356934
2001-01-26,113.32657954195155
2001-01-29,113.46284262167592
2001-01-30,113.77227671325105
2001-01-31,114.84701255312685
2001-02-01,113.17528652638234
2001-02-02,113.73809361292425
2001-02-05,111.01605128411494
2001-02-06,112.39021200375652
2001-02-07,110.44108363469394
2001-02-08,112.8043242852666
2001-02-09,112.24733777235326
2001-02-12,111.73824553901107
2001-02-13,113.30771844110828
2001-02-14,113.25541029865242
2001-02-15,116.25970630323125
2001-02-16,113.64034655210169
2001-02-19,112.01834947302369
2001-02-20,113.62984904061037
2001-02-21,110.33980823312888
2001-02-22,108.86017062940286
2001-02-23,108.07537734937708
2001-02-26,108.89345251963424
2001-02-27,107.47681863053354
2001-02-28,107.03610344990892
2001-03-01,105.36219604281779
2001-03-02,103.70633222741176
2001-03-05,105.0104572218039
2001-03-06,105.71012603764068
2001-03-07,106.3615575812774
2001-03-08,106.1677442869354
2001-03-09,104.92630855182557
2001-03-12,101.91961905668917
2001-03-13,102.3380230262146
2001-03-14,101.90764301001279
2001-03-15,102.59231441069187
2001-03-16,102.93539409136133
2001-03-19,101.82670710872637
2001-03-20,101.05051125752523
2001-03-21,101.6243316156051
2001-03-22,100.91890583952414
2001-03-23,100.55136444085466
2001-03-26,101.98916358055581
2001-03-27,101.51870389603624
2001-03-28,101.73753033671916
2001-03-29,100.73306958555894
2001-03-30,100.36013445177127
2001-04-02,98.9866299053372
2001-04-03,96.15998735561149
2001-04-04,93.24663708305226
2001-04-05,95.48892792647321
2001-04-06,95.99896076394616
2001-04-09,95.44321435167261
2001-04-10,97.68316131745519
2001-04-11,99.67362031017815
2001-04-12,99.27424291620991
2001-04-13,99.39418624992003
2001-04-16,99.61994484269634
2001-04-17,99.77970284668893
2001-04-18,103.93781512528098
2001-04-19,103.56888197575763
2001-04-20,100.55531309842128
2001-04-23,100.51489549689224
2001-04-24,101.02901960800259
2001-04-25,100.97784157924184
