Date,WORLD
2000-12-29,135.66760743658767
2001-01-01,135.66760743658767
2001-01-02,132.30600964808957
2001-01-03,135.36868490255105
2001-01-04,135.50659113827604
2001-01-05,132.77784047554303
2001-01-08,132.53587196268637
2001-01-09,133.11283505670602
2001-01-10,133.33048642457382
2001-01-11,133.23249453910503
2001-01-12,133.26159340582115
2001-01-15,134.075325903194
2001-01-16,134.41789935473193
2001-01-17,136.72854199442983
2001-01-18,136.26925533825525
2001-01-19,137.18173100048259
2001-01-22,137.17229010148262
2001-01-23,137.53326545735834
2001-01-24,139.77315336960208
2001-01-25,139.89641435339348
2001-01-26,139.398355192734
2001-01-29,140.4481872169694
2001-01-30,140.34064973860228
2001-01-31,139.60348972628725
2001-02-01,138.6302247470269
2001-02-02,137.50449474754174
2001-02-05,136.8213716281119
2001-02-06,137.80624860652975
2001-02-07,136.4273778009648
2001-02-08,137.21368342752606
2001-02-09,134.88127680528802
2001-02-12,135.59439715410628
2001-02-13,135.80516930231582
2001-02-14,135.38836634606537
2001-02-15,138.18446082148856
2001-02-16,134.53590664950391
2001-02-19,133.73320129574668
2001-02-20,133.500486826036
2001-02-21,131.25179051217677
2001-02-22,131.43672030185007
2001-02-23,130.4457253549716
2001-02-26,132.01264378387947
2001-02-27,130.60522785868775
2001-02-28,129.2281101653438
2001-03-01,127.74901685397042
2001-03-02,126.17887544201746
2001-03-05,127.66837674734613
2001-03-06,129.0022811030251
2001-03-07,129.7835115776837
2001-03-08,129.24524536341087
2001-03-09,127.10534247039362
2001-03-12,122.90292556502415
2001-03-13,124.2575905911056
2001-03-14,122.22638542215961
2001-03-15,123.95169615503258
2001-03-16,122.44945027735234
2001-03-19,123.30970311396571
2001-03-20,121.80002716924662
2001-03-21,121.07227162125493
2001-03-22,120.02538050602386
2001-03-23,121.68524859873393
2001-03-26,124.18269096690774
2001-03-27,126.45485359019263
2001-03-28,125.32472230565746
2001-03-29,125.14273182515707
2001-03-30,125.57982350943303
2001-04-02,124.60012307685957
2001-04-03,120.87503040366951
2001-04-04,119.5299282296895
2001-04-05,123.99551932822301
2001-04-06,122.25093942556427
2001-04-09,122.73365501025033
2001-04-10,126.40649416279524
2001-04-11,127.22724515963232
2001-04-12,127.53403344193396
2001-04-13,127.4742130068407
2001-04-16,128.1047318421065
2001-04-17,128.86005134026635
2001-04-18,134.1915045834915
2001-04-19,133.6749459221013
2001-04-20,131.34590024126086
2001-04-23,130.34830248266485
2001-04-24,129.89128774280843
2001-04-25,130.74556658876207
2001-04-26,131.0279006565467
2001-04-27,133.51191471981727
2001-04-30,134.44904656953477
2001-05-01,135.5057770970741
2001-05-02,135.56768913750898
2001-05-03,133.56418203530473
2001-05-04,134.69995356593
2001-05-07,135.30249201903203
2001-05-08,135.43965323448066
2001-05-09,134.75137323359885
2001-05-10,135.50878010590208
2001-05-11,135.5291608778917
2001-05-14,134.95381521313016
2001-05-15,135.01816878275838
2001-05-16,136.20626462528693
2001-05-17,137.48303072819954
2001-05-18,138.2325326005028
2001-05-21,140.0391892684488
2001-05-22,141.17330339413525
2001-05-23,140.55965703433063
2001-05-24,141.17997022470848
2001-05-25,140.0198460337614
2001-05-28,139.517547200648
2001-05-29,139.572513461188
2001-05-30,137.1490885280482
2001-05-31,138.7948910304791
2001-06-01,139.18358518721638
2001-06-04,139.62159405856067
2001-06-05,140.8147912164362
2001-06-06,139.86838993894676
2001-06-07,139.82497802687405
2001-06-08,139.26408041318217
2001-06-11,138.82398801204562
2001-06-12,136.78096581683468
2001-06-13,136.0627803475026
2001-06-14,133.51084411371568
2001-06-15,132.18052697007676
